venueId,latitude,longitude,venueCategoryId,venueCategory,timezoneOffset,utcTimestamp
49bbd6c0f964a520f4531fe3,40.71981038,-74.00258103,4bf58dd8d48988d127951735,Arts & Crafts Store,-240,18-00-09
4a43c0aef964a520c6a61fe3,40.60679958,-74.04416981,4bf58dd8d48988d1df941735,Bridge,-240,18-00-25
4c5cc7b485a1e21e00d35711,40.71616168,-73.88307006,4bf58dd8d48988d103941735,Home (private),-240,18-02-24
4ce1863bc4f6a35d8bd2db6c,40.61915107,-74.0358876,4bf58dd8d48988d103941735,Home (private),-240,18-06-18
4c0ab56f7e3fc9288c1df482,40.74119055,-73.9896631,4f04afc02fb6e1c99f3db0bc,Mobile Phone Shop,-240,18-09-29
4c00297392a6c9280cc243e2,40.8619815,-74.04790454,4bf58dd8d48988d124951735,Automotive Shop,-240,18-10-04
4b9830a5f964a520c73235e3,40.82678954,-73.94950924,4bf58dd8d48988d118951735,Food & Drink Shop,-240,18-10-39
4a689777f964a520a0ca1fe3,40.75527488,-73.97880614,4bf58dd8d48988d1c4941735,Restaurant,-240,18-11-04
4ba8a9a9f964a5206ee539e3,40.88302033,-74.07587528,4bf58dd8d48988d126941735,Government Building,-240,18-12-09
4ba0e0edf964a520138437e3,40.736676,-73.98891,4bf58dd8d48988d124941735,Office,-240,18-13-21
4bc308db4cdfc9b639bf9621,40.79059947,-73.98023378,4bf58dd8d48988d1e5941735,Other Great Outdoors,-240,18-14-03
4d9a2f78d97ba1430b43336b,40.75230661,-73.97185432,4bf58dd8d48988d130941735,Building,-240,18-14-21
4a676ff4f964a5206fc91fe3,40.65553514,-74.00862938,4bf58dd8d48988d124941735,Office,-240,18-14-44
4c5ef77bfff99c74eda954d3,40.74186151,-73.98943363,4bf58dd8d48988d118951735,Food & Drink Shop,-240,18-15-05
4bcde547511f95210d62b5c7,40.75094552,-74.00563392,4bf58dd8d48988d124941735,Office,-240,18-15-07
3fd66200f964a52035e41ee3,40.731698,-73.98922694,4bf58dd8d48988d1e5931735,Music Venue,-240,18-16-09
4b3a8e5df964a520d86925e3,40.82650767,-73.95039082,4bf58dd8d48988d1fd931735,Subway,-240,18-16-10
4b55ec3bf964a520aaf627e3,40.86283582,-74.19723988,4bf58dd8d48988d1ab941735,Student Center,-240,18-16-19
40b68100f964a5207d001fe3,40.74218831,-73.98792419,4bf58dd8d48988d163941735,Park,-240,18-17-17
4bf5cedf4d5f20a1833d98fe,40.90105787,-74.15076256,4bf58dd8d48988d1f9931735,Road,-240,18-18-54
4f5684de771657f331e5ca01,40.96324076,-74.0946311,4bf58dd8d48988d103941735,Home (private),-240,18-19-07
40e74880f964a520150a1fe3,40.7414075,-73.98843795,4bf58dd8d48988d16c941735,Burger Joint,-240,18-19-21
4c79b79381bca093e689fe14,40.92431191,-73.9968883,4f2a25ac4b909258e854f55f,Neighborhood,-240,18-26-46
447bf8f1f964a520ec331fe3,40.76391921,-73.97313996,4bf58dd8d48988d122951735,Electronics Store,-240,18-27-43
4e79392ce4cdb158f1cf4b75,40.80204208,-74.00063278,4bf58dd8d48988d103941735,Home (private),-240,18-34-00
4b093cd0f964a520db1423e3,40.7509958,-73.99068832,4bf58dd8d48988d1fd931735,Subway,-240,18-36-56
41102700f964a520d60b1fe3,40.75061379,-73.98856401,4bf58dd8d48988d1f6941735,Department Store,-240,18-37-12
4c17d9974ff90f47a9890d49,40.7471092,-74.15280867,4bf58dd8d48988d1de931735,Tattoo Parlor,-240,18-39-34
4528a216f964a520173b1fe3,40.73405558,-73.87084723,4bf58dd8d48988d1fd941735,Mall,-240,18-39-36
4b298573f964a52050a024e3,40.69541297,-73.98732159,4bf58dd8d48988d1ae941735,University,-240,18-42-32
4b7c9fe1f964a520559e2fe3,40.71589126,-74.03416157,4bf58dd8d48988d1fc931735,Light Rail,-240,18-47-23
4a7a0832f964a5203ce81fe3,40.745245,-73.982692,4bf58dd8d48988d1c1941735,Mexican Restaurant,-240,18-51-03
4b96b432f964a52018df34e3,40.70473328,-73.98773789,4bf58dd8d48988d1a8941735,General College & University,-240,18-52-48
4e5dbf1e1f6e3022a71c242b,40.91220464,-74.01238511,4bf58dd8d48988d103941735,Home (private),-240,18-55-51
4d4de33cd6f3224bca73a1a6,40.91192343,-73.78237724,4bf58dd8d48988d162941735,Other Great Outdoors,-240,18-57-40
4c62bfd0e1621b8dfe232453,40.75951305,-73.8314724,4f2a25ac4b909258e854f55f,Neighborhood,-240,18-57-46
4b8d2387f964a520dbe932e3,40.72703111,-74.03484821,4bf58dd8d48988d1fc931735,Light Rail,-240,19-00-04
4c1a2bbf838020a1adc4e661,40.7514116,-73.97994108,4bf58dd8d48988d124941735,Office,-240,19-00-31
4af12cb7f964a520d3e021e3,40.83162209,-74.13679361,4bf58dd8d48988d118951735,Food & Drink Shop,-240,19-01-40
462a6065f964a520d9451fe3,40.75821277,-73.98682594,4bf58dd8d48988d14e941735,American Restaurant,-240,19-03-47
4e5590b5814d6ce5cc849483,40.87063009,-74.09792627,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),-240,19-08-42
45c76421f964a52066421fe3,40.74404465,-73.98373696,4bf58dd8d48988d1e0931735,Coffee Shop,-240,19-09-49
43a52546f964a520532c1fe3,40.64508936,-73.78452301,4bf58dd8d48988d1ed931735,Airport,-240,19-14-15
4c3a1d102c8020a1f9d58d00,40.68006413,-73.76161876,4bf58dd8d48988d118951735,Food & Drink Shop,-240,19-14-34
4c0b32d37e3fc928650bf582,40.77352188,-73.9567852,4f2a25ac4b909258e854f55f,Neighborhood,-240,19-18-05
4e359a41814d2eb947337c4e,40.82358935,-74.22380201,4bf58dd8d48988d103941735,Home (private),-240,19-19-39
43695300f964a5208c291fe3,40.74828059,-73.98556262,4bf58dd8d48988d130941735,Building,-240,19-20-53
